"Finished Good Code","Subcomponent Code","Subcomponent Quantity","Subcomponent Unit of Measure","Finished Good Quantity","Finished Good Unit of Measure","Position","Substitute For","Priority","Optional"
"GCC40002","GCC0500","1.00000","eaches","1.00000","cases","1","","","false"
"GCC40002","GCC102378","1.00000","eaches","1.00000","cases","2","","","false"
"GCC40002","GCC1706","2.00000","eaches","1.00000","cases","3","","","false"
"GCC40002","GCC2030","1.00000","eaches","1.00000","cases","4","","","false"
"GCC40002","GCC2560","1.00000","eaches","1.00000","cases","5","","","false"
"GCC40002","GCC2561","2.00000","eaches","1.00000","cases","6","","","false"
"GCC40002","GCC2817","2.00000","eaches","1.00000","cases","7","","","false"
"GCC40002","GCC2895","1.00000","eaches","1.00000","cases","8","","","false"
"GCC40002","GCC2942","1.00000","eaches","1.00000","cases","9","","","false"
"GCC40002","GCC5866","1.00000","eaches","1.00000","cases","10","","","false"
"GCC40002","GCC5868","1.00000","eaches","1.00000","cases","11","","","false"
"GCC40002","GCC60721","1.50000","cases","1.00000","cases","12","","","false"
"GCC40002","GCC60725","1.00000","cases","1.00000","cases","13","","","false"
"GCC40002","GCC60764","1.25000","cases","1.00000","cases","14","","","false"
"GCC40002","GCC61175","1.50000","cases","1.00000","cases","15","","","false"
"GCC40002","GCC61526","0.83330","cases","1.00000","cases","16","","","false"
"GCC40002","GCC7956","1.00000","eaches","1.00000","cases","17","","","false"
"GCC40002RW","GCC40002","1.00000","cases","1.00000","cases","1","","","false"
"GCC40015","GCC0500","0.16670","eaches","1.00000","cases","1","","","false"
"GCC40015","GCC1706","2.00000","eaches","1.00000","cases","2","","","false"
"GCC40015","GCC4852","4.00000","eaches","1.00000","cases","3","","","false"
"GCC40015","GCC5387","8.00000","eaches","1.00000","cases","4","","","false"
"GCC40015","GCC5830","1.00000","eaches","1.00000","cases","5","","","false"
"GCC40015","GCC5831","1.00000","eaches","1.00000","cases","6","","","false"
"GCC40015","GCC5832","1.00000","eaches","1.00000","cases","7","","","false"
"GCC40015","GCC5833","5.00000","eaches","1.00000","cases","8","","","false"
"GCC40015","GCC6007","1.00000","eaches","1.00000","cases","9","","","false"
"GCC40015","GCC61857","1.66700","cases","1.00000","cases","10","","","false"
"GCC40015","GCC61862","1.66700","cases","1.00000","cases","11","","","false"
"GCC40015","GCC61864","4.16670","cases","1.00000","cases","12","","","false"
"GCC40015","GCC61866","2.50000","cases","1.00000","cases","13","","","false"
"GCC40015","GCC61867","1.66670","cases","1.00000","cases","14","","","false"
"GCC40015","GCC61868","2.50000","cases","1.00000","cases","15","","","false"
"GCC40015","GCC62303","4.16670","cases","1.00000","cases","16","","","false"
"GCC40015","GCC62431","1.66700","cases","1.00000","cases","17","","","false"
"GCC40015","GCC70959","0.83330","cases","1.00000","cases","18","","","false"
"GCC40015","GCC70961","0.41670","cases","1.00000","cases","19","","","false"
"GCC40027","GCC0500","0.01920","eaches","1.00000","cases","1","","","false"
"GCC40027","GCC100715","1.00000","eaches","1.00000","cases","2","","","false"
