"Location","Pallet number","Item","Description","Lot code","Expiry date","Inventory status","Cases qty","Cases UOM","Base qty","Base UOM"
"10-038-10","50009181","GCC2561","SIDEKICK Filler Int Dk Bar","163999","31/07/2048","Good","190.00","cs","190.00","ea"
"10-040-10","50040071","GCC101635","SUB Med DK SS Car NFPW","127884","30/03/2049","Good","45.00","cs","27000.00","ea"
"10-040-10","50040072","GCC101635","SUB Med DK SS Car NFPW","127884","30/03/2049","Good","45.00","cs","27000.00","ea"
"10-040-30","60063409","GCC3273","TRAY LG SUB SHPR Litho XMS","177417","30/06/2049","Good","600.00","cs","600.00","ea"
"10-040-50","50008980","GCC101063","SUB Med Asst Favs Vday 2018","162780","30/05/2049","Good","5200.00","cs","5200.00","ea"
"10-040-50","50011109","GCC100974","SUB XL Vday Assorted FDM18","125592","31/05/2049","Good","3.00","cs","3.00","ea"
"10-042-30","50002882","GCC101665","SUB TWN Mk SS Car NFPW","127605","28/02/2049","Good","24750.00","cs","24750.00","ea"
"10-042-30","50002883","GCC101665","SUB TWN Mk SS Car NFPW","127605","28/02/2049","Good","24750.00","cs","24750.00","ea"
"10-046-50","119800001628575","GCC101809","Header 150ct Display XMAS18","2822631","30/06/2049","Good","600.00","cs","600.00","ea"
"10-046-50","119800001628576","GCC101809","Header 150ct Display XMAS18","2822631","30/06/2049","Good","600.00","cs","600.00","ea"
"10-048-50","119800001628537","GCC102371","SUB-500 Minis Pep Bark XMAS19","128384","30/06/2049","Quarantined","6400.00","cs","6400.00","ea"
"10-048-50","119800001628544","GCC102372","SUB-500 Minis Asst XMAS19","128384","30/06/2049","Quarantined","11500.00","cs","11500.00","ea"
"10-050-30","119800001628526","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-050-30","119800001628527","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-050-50","50040010","GCC100722","SUB XXL ID SSS 2017","127315","31/05/2048","Good","3502.00","cs","3502.00","ea"
"10-052-10","50039512","GCC100557","Carton XSML Pep Bark XMAS17","3140","30/11/2048","Good","3.00","cs","3.00","ea"
"10-052-30","119800001628524","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-052-30","119800001628525","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-052-50","119800001628573","GCC101809","Header 150ct Display XMAS18","2822631","30/06/2049","Good","1.00","cs","1.00","ea"
"10-054-40","119800001628508","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-054-40","119800001628509","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-054-50","50014597","GCC101363","SUB TWN Dk PBK XMAS18 NFPW","125859","31/08/2048","Good","3.00","cs","3.00","ea"
"10-056-10","50040091","GCC2799","CASE INSERT 12ct XXL SUB","135951","31/07/2048","Good","52.00","cs","52.00","ea"
"10-056-10","50013617","GCC100675","RSC TWN SUB 12ct Target","166750","30/09/2048","Good","519.00","cs","519.00","ea"
"10-056-10","50015823","GCC101423","CPN Pad ED QtrPal 2018 EXP4/30","164966","31/05/2049","Good","400.00","cs","400.00","ea"
"10-056-30","50001600","GCC102491","Tray 14ct SUB-600 ED IDSSSClub","124113","09/05/2047","Good","8.00","cs","8.00","ea"
"10-056-30","119800001628522","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-056-30","119800001628523","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-056-40","50013591","GCC100599","PDQ TANABE 6ct Med SUB","157086","31/12/2047","Good","610.00","cs","610.00","ea"
