Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status,Runnable,BOM After Production
1835582,GCC397037,GCC41110,12/9oz XM MKCAR SUB400,Co-Pack Finished Good,23847,0,23847,2019-Jun-20 12:00 AM,Open,False,"GCC0500: 32304.747600000002
GCC102231: 132836.0
GCC1706: 4970483.0
GCC3737: 24.117199999999997
GCC5139: 75474.0
GCC77091: -9729.576"
1833064,GCC396641,GCC41345,6/5.62oz ID 72% SQ SUB300,,9000,0,9000,2019-Jul-20 12:00 AM,Open,False,
1833063,GCC396646,GCC41346,6/4.87oz ID 86% SQ SUB300,,5500,0,5500,2019-Jul-20 12:00 AM,Open,False,
1832030,GCC396870,GCC40926,280/14/24.6oz ED ASST SUB-710,Co-Pack Finished Good,800,0,800,2019-Jul-20 12:00 AM,Open,False,"GCC101998: 4327.0
GCC102134: 8840.0
GCC102475: -73787.0
GCC102515: 9936.0
GCC2513: 14261.0
GCC3737: 36.54999999999999
GCC2618: -749.0
GCC70077: 40364.799999999996
GCC77073: -3513.0
GCC77074: 165359.0
GCC77076: 10228.0
GCC7754: 31144.0
GCC8516: 9793.0
GCC73073: -3218.22"
1832029,GCC396861,GCC83785,12/Gold Bar Tin FG 16,Retail Packaging,250,0,250,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32759.66
GCC102127: -3.0
GCC1706: 5017677.0
GCC77074: 171111.0
GCC82606: -4.0
GCC83715: -3000.0
GCC84241: 1999.75
GCC84305: 99.0
GCCS-4924: 66.0"
1832028,GCC396857,GCC83413,12/80ct Everyday Asst FG,Retail Packaging,1200,0,1200,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32712.57
GCC101972: 11.92
GCC1706: 5015777.0
GCC70077: 45469.439999999995
GCC70858: -319.68
GCC77073: 1546.2
GCC77074: 170808.6
GCC77076: 15287.2
GCC77082: 85502.2
GCC77083: 196236.2
GCC84836: -13.25
GCC84858: -14289.0
GCC84948: -11389.0
GCCS-4643: 4825.0
GCC73073: 2664.58"
1832027,GCC396855,GCC83011,12/100ct Asst SqrBag Mini FG,Retail Packaging,270,0,270,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32747.598
GCC102322: -1.2400000000000002
GCC1706: 5017637.0
GCC73077: -122.472
GCC73078: -118.908
GCC73098: -118.908
GCC82890: -3.24
GCC84788: -3.24
GCC84954: -3240.0
GCCS-4183: 2846.0"
1832026,GCC396628,GCC41335,6/6.38oz ED DK RSP SQ SUB300,,9000,0,9000,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32712.21
GCC101654: -17625.0
GCC102998: -9000.0
GCC1706: 5000177.0
GCC3737: 70.55
GCC77083: 195257.0
GCC8285: 93616.2"
1832025,GCC396625,GCC41334,6/6.38oz ED DK MNT SQ SUB300,,8000,0,8000,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32717.81
GCC101649: -24000.0
GCC102998: -8000.0
GCC1706: 5002177.0
GCC3737: 71.75
GCC77082: 84667.0
GCC8285: 93638.4"
1832024,GCC396579,GCC41332,6/6.38oz ED MK CAR SQ SUB300,,13000,0,13000,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32689.81
GCC101648: -65350.0
GCC102998: -13000.0
GCC1706: 4992177.0
GCC3737: 65.75
GCC77074: 169311.0
GCC8285: 93527.4"
1832023,GCC396548,GCC41344,6/5.2oz ID 92% SUB300 CS,,9000,0,9000,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32712.21
GCC101315: -4042.0
GCC102998: -9000.0
GCC1706: 5000177.0
GCC3737: 70.55
GCC77062: -1161.0
GCC8285: 93616.2"
1832022,GCC396421,GCC40470,200/10/18.1oz XL-C Gold Sams,Co-Pack Finished Good,200,0,200,2019-Jul-20 12:00 AM,Open,False,"GCC100652: 3102.0
GCC101708: 231520.0
GCC2490: 9138.0
GCC2513: 16661.0
GCC2618: -149.0
GCC2843: 162.0
GCC2863: 20325.0
GCC3737: 73.35
GCC4730: 1729.0
GCC6039: 8082.0
GCC70077: 45023.2
GCC70858: -740.0
GCC77074: 170383.0
GCC77076: 14804.0
GCC7754: 33544.0
GCC8516: 10393.0"
1832021,GCC395984,GCC40506,280/10/30oz MXD Cndymkg PCH,Co-Pack Finished Good,1103,0,1103,2019-Jul-22 12:00 AM,Open,False,"GCC1706: 5015971.0
GCC2513: 13049.0
GCC2618: -1052.0
GCC3771: 1783.0
GCC70177: -15442.0
GCC70178: -15442.0
GCC7754: 29932.0
GCC8516: 9490.0"
1832020,GCC395976,GCC40449,6/4.1OZ ID Salt Car Cas NEST,Co-Pack Finished Good,4500,0,4500,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32742.81
GCC100638: 149878.0
GCC1706: 5009177.0
GCC3737: 75.94999999999999
GCC4205: 348579.0
GCC77051: -456.3
GCC8285: 93735.9"
1832019,GCC395928,GCC40258,12/5.3oz XM MED AST WIN GIFT,Co-Pack Finished Good,2595,0,2595,2019-Jul-19 12:00 AM,Open,False,"GCC0500: 32722.647
GCC100460: 2384.0
GCC100461: 8632.0
GCC102154: -30044.0
GCC1706: 5012987.0
GCC3480: 474893.0
GCC5162: 135925.0
GCC5163: 171556.0
GCC77074: 170933.88
GCC77075: 97383.44
GCC77076: 15479.44
GCC77082: 85694.44"
1832018,GCC395535,GCC40783,72ct ID BAR SHIPPER 2018,Co-Pack Finished Good,300,0,300,2019-Jul-20 12:00 AM,Open,True,"GCC0500: 32742.600000000002
GCC101323: 102.0
GCC102378: 9845.0
GCC1706: 5017577.0
GCC2561: 14588.0
GCC2817: 8748.0
GCC2895: 8804.71
GCC2942: 4853.0
GCC40434: 16266.0
GCC4207: 1912.0
GCC60721: 12286.0
GCC60725: 18132.0
GCC61175: 43158.0
GCC7956: 2797.0"
1832017,GCC395356,GCC40239,24/0.7 XM MKCAR FB SNWM SUB050,Co-Pack Finished Good,20769,0,20769,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32646.3036
GCC102151: 653544.0
GCC1706: 4976639.0
GCC3737: 31.504399999999997
GCC4443: 54409.0
GCC4943: 47914.0
GCC73092: -1993.824"
1832016,GCC395150,GCC41293,36/XM BAR WING DSPLY CVS,Co-Pack Finished Good,2510,0,2510,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32731.235
GCC100476: -10040.0
GCC1706: 5013157.0
GCC4340: 14178.0
GCC4341: -2510.0
GCC4342: -2510.0
GCC4356: -2510.0
GCC60721: 10794.417
GCC60764: 35279.463
GCC61422: 4056.25
GCC7956: 887.0
GCC8285: 93690.5"
1832015,GCC395149,GCC41270,12/4.1oz XM DUO FB SNWM SUB200,Co-Pack Finished Good,3343,0,3343,2019-Jul-20 12:00 AM,Open,False,"GCC0500: 32718.148100000002
GCC100611: 81753.0
GCC100612: 121174.0
GCC102674: -40116.0
GCC1706: 5011491.0
GCC3737: 73.32679999999999
GCC73048: -481.39199999999994
GCC73092: -481.39199999999994
GCC8285: 93637.8181"
