Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1835582,GCC397037,GCC41110,12/9oz XM MKCAR SUB400,Co-Pack Finished Good,23847,0,23847,2019-Jun-20 12:00 AM,Open
1833064,GCC396641,GCC41345,6/5.62oz ID 72% SQ SUB300,,9000,0,9000,2019-Jul-20 12:00 AM,Open
1833063,GCC396646,GCC41346,6/4.87oz ID 86% SQ SUB300,,5500,0,5500,2019-Jul-20 12:00 AM,Open
1832030,GCC396870,GCC40926,280/14/24.6oz ED ASST SUB-710,Co-Pack Finished Good,800,0,800,2019-Jul-20 12:00 AM,Open
1832029,GCC396861,GCC83785,12/Gold Bar Tin FG 16,Retail Packaging,250,0,250,2019-Jul-20 12:00 AM,Open
1832028,GCC396857,GCC83413,12/80ct Everyday Asst FG,Retail Packaging,1200,0,1200,2019-Jul-20 12:00 AM,Open
1832027,GCC396855,GCC83011,12/100ct Asst SqrBag Mini FG,Retail Packaging,270,0,270,2019-Jul-20 12:00 AM,Open
1832026,GCC396628,GCC41335,6/6.38oz ED DK RSP SQ SUB300,,9000,0,9000,2019-Jul-20 12:00 AM,Open
1832025,GCC396625,GCC41334,6/6.38oz ED DK MNT SQ SUB300,,8000,0,8000,2019-Jul-20 12:00 AM,Open
1832024,GCC396579,GCC41332,6/6.38oz ED MK CAR SQ SUB300,,13000,0,13000,2019-Jul-20 12:00 AM,Open
1832023,GCC396548,GCC41344,6/5.2oz ID 92% SUB300 CS,,9000,0,9000,2019-Jul-20 12:00 AM,Open
1832022,GCC396421,GCC40470,200/10/18.1oz XL-C Gold Sams,Co-Pack Finished Good,200,0,200,2019-Jul-20 12:00 AM,Open
1832021,GCC395984,GCC40506,280/10/30oz MXD Cndymkg PCH,Co-Pack Finished Good,1103,0,1103,2019-Jul-22 12:00 AM,Open
1832020,GCC395976,GCC40449,6/4.1OZ ID Salt Car Cas NEST,Co-Pack Finished Good,4500,0,4500,2019-Jul-20 12:00 AM,Open
